 S11, S22, S33, S12, S23, S31, wp
  1.344842E+002, -3.086270E+001,  0.000000E+000, -1.248140E+002, -7.141032E-001, -1.293611E-001,  5.004863E-001
  1.334654E+002, -2.824253E+001,  0.000000E+000,  1.272249E+002,  4.540029E-001,  8.252248E-001,  5.007148E-001
  1.471221E+002,  3.579342E+000,  0.000000E+000, -1.287415E+002, -1.103160E+000, -4.284289E-001,  5.000849E-001
  1.461874E+002,  5.988441E+000,  0.000000E+000,  1.314165E+002,  7.079257E-001,  9.671487E-001,  5.002475E-001
  1.594833E+002,  3.880383E+001,  0.000000E+000, -1.318630E+002, -1.723506E+000, -7.107990E-001,  5.005366E-001
  1.595540E+002,  3.988343E+001,  0.000000E+000,  1.341745E+002,  9.185635E-001,  1.059110E+000,  5.001386E-001
  1.692214E+002,  7.246159E+001,  0.000000E+000, -1.334981E+002, -2.255366E+000, -1.171263E+000,  5.006197E-001
  1.700976E+002,  7.200440E+001,  0.000000E+000,  1.353594E+002,  9.486823E-001,  9.305012E-001,  5.005835E-001
  1.703506E+002,  9.811072E+001,  0.000000E+000, -1.338002E+002, -2.340642E+000, -1.600983E+000,  5.005405E-001
  1.713891E+002,  9.598332E+001,  0.000000E+000,  1.352354E+002,  7.357770E-001,  6.786068E-001,  5.007140E-001
  1.708445E+002,  1.221864E+002,  0.000000E+000, -1.330718E+002, -2.127336E+000, -2.019313E+000,  5.006306E-001
  1.718650E+002,  1.188264E+002,  0.000000E+000,  1.341357E+002,  4.025828E-001,  4.941327E-001,  5.007491E-001
  1.708860E+002,  1.449204E+002,  0.000000E+000, -1.314703E+002, -1.777275E+000, -2.361553E+000,  5.003444E-001
  1.717358E+002,  1.408028E+002,  0.000000E+000,  1.323082E+002, -5.995623E-003,  3.778438E-001,  5.002009E-001
  1.705844E+002,  1.662427E+002,  0.000000E+000, -1.293300E+002, -1.424495E+000, -2.560176E+000,  5.004924E-001
  1.711427E+002,  1.615156E+002,  0.000000E+000,  1.299621E+002, -3.372685E-001,  2.957104E-001,  5.000768E-001
  1.701301E+002,  1.856714E+002,  0.000000E+000, -1.266963E+002, -1.100377E+000, -2.653086E+000,  5.007154E-001
  1.700289E+002,  1.807550E+002,  0.000000E+000,  1.271280E+002, -5.654435E-001,  3.135459E-001,  5.000331E-001
  1.693679E+002,  2.032846E+002,  0.000000E+000, -1.235219E+002, -8.616860E-001, -2.663053E+000,  5.002084E-001
  1.684033E+002,  1.984185E+002,  0.000000E+000,  1.238807E+002, -6.968656E-001,  3.809751E-001,  5.003442E-001
  1.685052E+002,  2.197330E+002,  0.000000E+000, -1.191938E+002, -7.447227E-001, -2.476843E+000,  5.003632E-001
  1.663509E+002,  2.149295E+002,  0.000000E+000,  1.193464E+002, -7.496862E-001,  4.686025E-001,  5.007145E-001
  1.668020E+002,  2.342157E+002,  0.000000E+000, -1.136729E+002, -7.754944E-001, -2.248510E+000,  5.003505E-001
  1.637316E+002,  2.294508E+002,  0.000000E+000,  1.134336E+002, -6.682541E-001,  5.423630E-001,  5.001428E-001
  1.635318E+002,  2.455824E+002,  0.000000E+000, -1.081258E+002, -9.078756E-001, -2.068761E+000,  5.003387E-001
  1.690986E+002,  2.553989E+002,  0.000000E+000, -1.015209E+002, -9.555994E-001, -1.969503E+000,  5.003087E-001
  1.741508E+002,  2.646160E+002,  0.000000E+000, -9.392109E+001, -9.763267E-001, -1.841812E+000,  5.004078E-001
  1.790120E+002,  2.738270E+002,  0.000000E+000, -8.527009E+001, -1.052724E+000, -1.730668E+000,  5.003265E-001
  1.841964E+002,  2.835369E+002,  0.000000E+000, -7.538887E+001, -1.177791E+000, -1.664978E+000,  5.001081E-001
  1.897014E+002,  2.937475E+002,  0.000000E+000, -6.427452E+001, -1.231504E+000, -1.606652E+000,  5.008360E-001
  1.952325E+002,  3.042058E+002,  0.000000E+000, -5.195075E+001, -1.191381E+000, -1.570661E+000,  5.002450E-001
  2.006548E+002,  3.146734E+002,  0.000000E+000, -3.843814E+001, -1.060937E+000, -1.653996E+000,  5.002275E-001
  2.048237E+002,  3.225797E+002,  0.000000E+000, -2.443573E+001, -8.192391E-001, -1.911850E+000,  5.003305E-001
  2.063305E+002,  3.245744E+002,  0.000000E+000, -8.772284E+000, -5.240516E-001, -1.858773E+000,  5.002698E-001
